Title,Test Name,ERROR,Configuration,Build Seed,Simulation Seed,Simulation Time,Test Status
1,basic_rd_wr_test,UVM_ERROR Data mismatch addr = 32'h12345678 actual data = acbdefgh exp data = 1236789,1024x2054,abcdef12345,87653256,200009876ns,FAILED
2,basic_rd_wr_test,,1024x2054,abcdef12345,34567984,129000ns,PASSED
3,basic_rd_wr_test,UVM_ERROR Write pulse longer than 1 cycle,1024x2054,abcdef12345,35900032,1024ns,FAILED
4,burst_rd_wr_test,,1024x2054,abcdef12345,45890834,2456900ns,PASSED
5,burst_rd_test,UVM_ERROR Data mismatch addr = 32'h12345678 actual data = acbdefgh exp data = 1236789,1024x2054,abcdef12345,33333333,1024ns,FAILED
6,burst_wr_test,UVM_ERROR Data mismatch addr = 32'h12345678 actual data = 12345678 exp data = aabbcc11,1024x2054,abcdef12345,44444444,1024ns,FAILED
7,basic_rd_wr_test,UVM_ERROR Data mismatch addr = 32'h12345678 actual data = acbdefgh exp data = 1236789,1024x2054,abcdef12345,34900457,200009876ns,FAILED
8,basic_rd_wr_test,,1024x2054,abcdef12345,23409765,289053ns,PASSED
9,burst_rd_wr_test,,1024x2054,abcdef12345,23409775,289053ns,PASSED
10,burst_rd_test,UVM_ERROR Data mismatch addr = 32'h12345678 actual data = acbdefgh exp data = 1236789,1024x2054,abcdef12345,55553456,1024ns,FAILED
11,basic_rd_wr_test,TIMEOUT,1024x2054,abcdef12345,33445623,7000000000ns,FAILED
12,burst_wr_test,UVM_ERROR Data mismatch addr = 32'habcd1234 actual data = 12345678 exp data = aabbcc11,1024x2054,abcdef12345,55566667,1024ns,FAILED
13,burst_rd_test,UVM_ERROR Data mismatch addr = 32'h12345678 actual data = acbdefgh exp data = 1236789,1024x2054,abcdef12345,33399933,1024ns,FAILED
14,basic_rd_wr_test,,256x1024,234599999,23457654,20000000ns,PASSED
